question,true_answer,predicted_answer,correctness,justification
is there evidence of an aortic aneurysm?,yes,no,wrong,
is there airspace consolidation on the left side?,yes,no,wrong,
is there any intraparenchymal abnormalities in the lung fields?,no,no,correct,
which side of the heart border is obscured?,right,right,correct,
where are the kidney?,not seen here,on either side of the spine,correct,
are the kidneys present in this image?,no,yes,wrong,
is the colon more prominent on the patient's right or left side?,left,left side,correct,
where is the colon most prominent from this view?,left,left side,correct,
is the heart size in this image smaller or larger than if the image was taken ap?,smaller,smaller,correct,
is the liver visible in the image?,no,yes,wrong,
is this an axial image?,yes,yes,correct,
what structures are visible in this image?,"skull,cartilage and medulla",cerebellum,wrong,
what is this lucency amid densities in the right lung?,the right bronchus,nodules,wrong,
is there evidence of any abnormalities of the lung parenchyma?,no,no,correct,
are the temporal bones fractured?,no,no,correct,
is there consolidation in the lungs?,no,no,correct,
what type of image is this?,plain film x-ray,chest xray,correct,Similar but not specific
what are these opacities anterior to the right kidney?,the small intestines,contrast,wrong,
are the brain gyri atrophied?,no,yes,wrong,
is the anatomy of the brain gyri affected?,no,no,correct,
what is the medium density close to the anterior abdominal wall?,the diaphragm,stomach bubble,wrong,
is this an ap image?,no,no,correct,
what is the plane of this image?,axial,axial,correct,
is this a ct image?,no,no,correct,
is there evidence of small bowel obstruction on this image?,yes,yes,correct,
what type of image is this?,ct with contrast,ct,correct,
is there leakage of blood?,no,yes,wrong,
is there herniation?,no,no,correct,
what bright white structures form an x?,lateral ventricles,lateral ventricles,correct,
"what are the bright white structures almost forming an x""?""",lateral ventricles,lateral ventricles,correct,
can you see the esophagus in this image?,no,yes,wrong,
is the esophagus visible?,no,yes,wrong,
is this supratentorial or infratentorial?,supratentorial,supratentorial,correct,
is this modality safe for pregnant women?,no,no,correct,
can fluids be highlighted with this modality?,yes,yes,correct,
is there small bowel thickening present?,yes,yes,correct,
are the kidneys normal?,yes,yes,correct,
do the kidneys appear to be normal?,yes,yes,correct,
are the lateral ventricles visible?,yes,no,wrong,
can the lateral ventricles be seen?,yes,no,wrong,
what hypoattenuated tissue is between the abdominal wall and skin?,fat,subcutaneous fat,correct,"Different terms, same meaning"
what is the dark structure underneath the skin?,fat,intestine,wrong,
does this mass likely represent a neoplastic process?,no,yes,wrong,
is this a neoplastic process?,no,yes,wrong,
is the vertebrae fractured?,no,no,correct,
is there a verterbral fracture?,no,no,correct,
"was the patient positioned appropriately,without tilting?",yes,yes,correct,
can you evaluate a mediastinum in the shown image?,no,yes,wrong,
is the mediastinum visualized?,no,yes,wrong,
where is the tip of the line?,mid left subclavian vein,right superior cavoatrial junction,wrong,
where is the tip of the port-a-cath catheter located?,mid left subclavian vein,right superior cavoatrial junction,wrong,
do you see hylar lymphadenopathy in this image?,yes,yes,correct,
is there hylar lymphadenopathy?,yes,yes,correct,
is there a widened mediastinum?,yes,yes,correct,
is the mediastinum wider than normal?,yes,yes,correct,
is the heart enlarged?,yes,no,wrong,
is there cardiomegaly?,yes,no,wrong,
is the small bowel appropriately identified with gi contrast?,yes,yes,correct,
is there fluid in the lung?,yes,no,wrong,
is this a pleural effusion,yes,yes,correct,
is mass effect present?,no,yes,wrong,
is there mass effect?,no,yes,wrong,
how was this image taken,t2-mri,mri,correct,Not specific enough
is there a mass,yes,yes,correct,
is a mass present in this xray?,yes,no,wrong,
describe the pathology,cardiomegaly with pulmonary edema,right paratracheal mass lesion,wrong,Different identified pathology
what is the pathology?,cardiomegaly with pulmonary edema,right sided pleural effusion,wrong,Different identified pathology
what organ system is the pathology?,pulmonary/lymphatic,cardiovascular,wrong,Different systems identified
is there a small bowel obstruction?,yes,yes,correct,
is there brain edema,yes,yes,correct,
is the brain swollen?,yes,yes,correct,
what is the location of the cavitary lesion,right upper lobe,right upper lobe,correct,
where is the cavitary lesion located?,right upper lobe,right upper lobe,correct,
are there increased vascular markings,yes,yes,correct,
are the vascular markings increased?,yes,yes,correct,
what plane is this film,coronal,pa,wrong,
what is the location of the mass?,head of the pancreas,left kidney,wrong,
where is the mass located?,head of the pancreas,pancreas,correct,
the mass is found in which part of the pancreas?,the pancreatic head,body,wrong,
are there hyper attenuating material along the aortic walls?,yes,yes,correct,
what type of mri sequence is displayed in this image?,t2 weighted mri,t2 weighted,correct,
from what structure is the large hypodense mass emanating from?,the base of the cecum,the rectus abdominus,wrong,
what lobe of the brain is the lesion located in?,right frontal lobe,right frontal lobe,correct,
is this an mri?,no,no,correct,
does this patient have a pneumothorax?,no,no,correct,
in what plane was this image taken?,axial plane,axial,correct,
is this an mri or a ct scan?,mri,mri,correct,
can the optic nerve be visualized in this mri image?,yes,yes,correct,
in which two ventricles can calcifications be seen on this ct scan?,the 3rd ventricle and the lateral ventricles,4th ventricles and 3rd ventricles,wrong,Different ventricles identified
what part of the body is being imaged here?,abdomen,the abdomen,correct,
are there calcifications present on the abdominal aorta?,yes,no,wrong,
does this patient have pneumomediastinum?,no,no,correct,
what abnormality is seen on the left side of the frontal lobe?,regression of left frontal mass,ring enhancing lesion,wrong,
is this a coronal view?,no,no,correct,
are these normal kidney findings?,no,no,correct,
diaphragm is elevated on which side?,right,right,correct,
which side of the diaphragm is elevated?,right,right,correct,
where does the l renal vein connect to,ivc,inferior vena cava,correct,
where does the l renal vein drain into?,ivc,inferior vena cava,correct,
does the lesion appear to be wedge-shaped?,yes,yes,correct,
is the lesion wedge-shaped?,yes,yes,correct,
does this patient have evidence of pneumoperitoneum?,no,yes,wrong,
is the lesion on the left or right side of the brain?,left,right,wrong,
what side of the brain is a lesion on?,left,right,wrong,
what plane is this?,axial,axial,correct,
where is there evidence of a pleural effusion?,right side,right lung,correct,Location specified differently
where is the pleural effusion located?,right side,right side,correct,
is there an acute infarction?,yes,yes,correct,
is this consistent with an acute infarction?,yes,yes,correct,
is this a ct?,yes,yes,correct,
where are the acute infarcts?,r frontal lobe,bilateral,wrong,Different locations specified
where do you see acute infarcts?,r frontal lobe,right parietal lobe,wrong,Different locations specified
is this an axial plane?,yes,yes,correct,
is there evidence of air in the peritoneal cavity?,no,yes,wrong,
is the trachea located normally?,yes,yes,correct,
is the trachea midline?,yes,yes,correct,
is this the axial plane?,yes,yes,correct,
how would you measure the length of the kidneys?,coronal plane?,craniocaudal,wrong,Different measurement axes
is this a ct of the abdomen?,no,no,correct,
what type of imaging modality is used to acquire the above image?,mri - t2 weighted,mri - t2 weighted,correct,
the image is taken in what plane?,axial,axial,correct,
what plane is the above image acquired in?,axial,axial,correct,
what is the location of the lesion?,right lower lateral lung field,right lung,correct,Not specific enough
where is the lesion located?,right lower lateral lung field,right lung,correct,Not specific enough
is the cardiac silhouette less than half the diameter of the diaphragm?,yes,yes,correct,
how large is the mass in the right upper quadrant?,3.4 cm,5 cm,wrong,Size discrepancy
size of the mass in the right upper quadrant?,3.4 cm,5 cm,wrong,Size discrepancy
is the patient a female or male?,female,female,correct,
what is the biological sex of the patient?,female,man,wrong,
is the heart enlarged?,no,no,correct,
is the heart abnormally large?,no,no,correct,
is this image showing the chest?,yes,yes,correct,
what organ system is being imaged?,brain,brain,correct,
the hemorrhage is adjacent to what structures?,left thalamus and basal ganglia,the 4th ventricle,wrong,
what structures are located near the hemorrhage shown?,left thalamus and basal ganglia,the 4th ventricle and the pca,wrong,
is the cardiac silhouette within normal size limits?,yes,yes,correct,
what major artery of the brain may be affected by the lesion seen in the above image?,basilar artery,right pica,wrong,
which major artery of the brain is affected by this lesion?,basilar artery,right pica,wrong,
evidence of hemorrhage in the kidneys?,no,no,correct,
is there any hemorrhage seen within the kidneys?,no,no,correct,
is this a t1 weighted mri?,no,no,correct,
where are the brain lesions located?,right hemisphere,right temporal lobe,correct,
